thread=main;op=openConnection;read=0;write=0;path=NULL;answer=0 
thread=4806;op=openFile;read=0;write=0;path=/home/q/sol-main/test1/primo.txt;answer=0 
thread=4802;op=writeFile;read=0;write=5;path=/home/q/sol-main/test1/primo.txt;answer=0 
thread=4802;op=closeFile;read=0;write=0;path=/home/q/sol-main/test1/primo.txt;answer=0 
thread=4802;op=openFile;read=0;write=0;path=/home/q/sol-main/test1/secondo.txt;answer=0 
thread=4802;op=writeFile;read=0;write=7;path=/home/q/sol-main/test1/secondo.txt;answer=0 
thread=4802;op=closeFile;read=0;write=0;path=/home/q/sol-main/test1/secondo.txt;answer=0 
thread=4806;op=openFile;read=0;write=0;path=/home/q/sol-main/test1/terzo.txt;answer=0 
thread=4806;op=writeFile;read=0;write=5;path=/home/q/sol-main/test1/terzo.txt;answer=0 
thread=4806;op=closeFile;read=0;write=0;path=/home/q/sol-main/test1/terzo.txt;answer=0 
thread=4806;op=closeConnection;read=0;write=0;path=NULL;answer=0 
thread=main;op=openConnection;read=0;write=0;path=NULL;answer=0 
thread=4806;op=openFile;read=0;write=0;path=/home/q/sol-main/test2/primo.txt;answer=0 
thread=4802;op=writeFile;read=0;write=5;path=/home/q/sol-main/test2/primo.txt;answer=1 
thread=-1;op=out;read=5;write=0;path=/home/q/sol-main/test1/primo.txt;answer=-1 
thread=4806;op=closeFile;read=0;write=0;path=/home/q/sol-main/test2/primo.txt;answer=0 
thread=4802;op=openFile;read=0;write=0;path=/home/q/sol-main/test2/secondo.txt;answer=0 
thread=4802;op=writeFile;read=0;write=7;path=/home/q/sol-main/test2/secondo.txt;answer=1 
thread=-1;op=out;read=7;write=0;path=/home/q/sol-main/test1/secondo.txt;answer=-1 
thread=4806;op=closeFile;read=0;write=0;path=/home/q/sol-main/test2/secondo.txt;answer=0 
thread=4806;op=openFile;read=0;write=0;path=/home/q/sol-main/test2/terzo.txt;answer=0 
thread=4802;op=writeFile;read=0;write=5;path=/home/q/sol-main/test2/terzo.txt;answer=1 
thread=-1;op=out;read=5;write=0;path=/home/q/sol-main/test1/terzo.txt;answer=-1 
thread=4802;op=closeFile;read=0;write=0;path=/home/q/sol-main/test2/terzo.txt;answer=0 
thread=4802;op=closeConnection;read=0;write=0;path=NULL;answer=0 
thread=main;op=openConnection;read=0;write=0;path=NULL;answer=0 
thread=4806;op=openFile;read=0;write=0;path=/home/q/sol-main/test3/primo.txt;answer=0 
thread=4806;op=writeFile;read=0;write=5;path=/home/q/sol-main/test3/primo.txt;answer=1 
thread=-1;op=out;read=5;write=0;path=/home/q/sol-main/test2/primo.txt;answer=-1 
thread=4806;op=closeFile;read=0;write=0;path=/home/q/sol-main/test3/primo.txt;answer=0 
thread=4806;op=openFile;read=0;write=0;path=/home/q/sol-main/test3/secondo.txt;answer=0 
thread=4806;op=writeFile;read=0;write=7;path=/home/q/sol-main/test3/secondo.txt;answer=1 
thread=-1;op=out;read=7;write=0;path=/home/q/sol-main/test2/secondo.txt;answer=-1 
thread=4806;op=closeFile;read=0;write=0;path=/home/q/sol-main/test3/secondo.txt;answer=0 
thread=4802;op=openFile;read=0;write=0;path=/home/q/sol-main/test3/terzo.txt;answer=0 
thread=4802;op=writeFile;read=0;write=5;path=/home/q/sol-main/test3/terzo.txt;answer=1 
thread=-1;op=out;read=5;write=0;path=/home/q/sol-main/test2/terzo.txt;answer=-1 
thread=4802;op=closeFile;read=0;write=0;path=/home/q/sol-main/test3/terzo.txt;answer=0 
thread=4802;op=closeConnection;read=0;write=0;path=NULL;answer=0 
thread=main;op=openConnection;read=0;write=0;path=NULL;answer=0 
thread=4806;op=openFile;read=0;write=0;path=/home/q/sol-main/test4/primo.txt;answer=0 
thread=4806;op=writeFile;read=0;write=5;path=/home/q/sol-main/test4/primo.txt;answer=1 
thread=-1;op=out;read=5;write=0;path=/home/q/sol-main/test3/primo.txt;answer=-1 
thread=4802;op=closeFile;read=0;write=0;path=/home/q/sol-main/test4/primo.txt;answer=0 
thread=4802;op=openFile;read=0;write=0;path=/home/q/sol-main/test4/secondo.txt;answer=0 
thread=4806;op=writeFile;read=0;write=7;path=/home/q/sol-main/test4/secondo.txt;answer=1 
thread=-1;op=out;read=7;write=0;path=/home/q/sol-main/test3/secondo.txt;answer=-1 
thread=4806;op=closeFile;read=0;write=0;path=/home/q/sol-main/test4/secondo.txt;answer=0 
thread=4802;op=openFile;read=0;write=0;path=/home/q/sol-main/test4/terzo.txt;answer=0 
thread=4802;op=writeFile;read=0;write=5;path=/home/q/sol-main/test4/terzo.txt;answer=1 
thread=-1;op=out;read=5;write=0;path=/home/q/sol-main/test3/terzo.txt;answer=-1 
thread=4806;op=closeFile;read=0;write=0;path=/home/q/sol-main/test4/terzo.txt;answer=0 
thread=4802;op=closeConnection;read=0;write=0;path=NULL;answer=0 
